product_name_clean,date,price,main_category,sub_category,discount
شاورما لحم برازيلي - 850-1000 جرام,2026-05-11,850.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج مخلية,2026-05-11,158.0,Fresh Foods,Meat & Poultry,0.0
ورق عنب محشي أرز - 1 كجم,2026-05-11,157.0,Fresh Foods,Meat & Poultry,0.0
دجاجة فرازه كاملة - 1000-1100 جرام,2026-05-11,1000.0,Fresh Foods,Meat & Poultry,0.0
فرازه شيش دجاج - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
كفتة بقري جرين لاين - 400 جرام,2026-05-11,400.0,Fresh Foods,Meat & Poultry,0.0
أوراك فراخ تندوري,2026-05-11,83.0,Fresh Foods,Meat & Poultry,0.0
كفتة ضاني جرين لاين - 500 كجم,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
كتف ضاني بلدى,2026-05-11,709.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست كفتة ضاني مجمدة - 850 - 1000 جرام,2026-05-11,11.0,Fresh Foods,Meat & Poultry,0.0
هيلثيست مكعبات لحم جاموسي هندي مجمد - 850-1000 جرام,2026-05-11,850.0,Fresh Foods,Meat & Poultry,0.0
وراك فراخ مليكة - 1 كجم,2026-05-11,147.0,Fresh Foods,Meat & Poultry,0.0
دبابيس دجاج,2026-05-11,92.0,Fresh Foods,Meat & Poultry,0.0
دجاج فيليه من فرازه - 400 جرام,2026-05-11,400.0,Fresh Foods,Meat & Poultry,0.0
جرين لاين كفتة - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
كفتة الحاتي جرين لاين - 400 جرام,2026-05-11,400.0,Fresh Foods,Meat & Poultry,0.0
ستيك بلدي مخلي,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
كبد وقوانص من شهد - 500 جرام,2026-05-11,13.0,Fresh Foods,Meat & Poultry,0.0
كبد وقوانص فرازة - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
كبده دجاج كوكي - 1 كجم,2026-05-11,199.0,Fresh Foods,Meat & Poultry,0.0
أجنحة فرازة فراخ - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
أجنحة دجاج تمري - 1 كجم,2026-05-11,160.0,Fresh Foods,Meat & Poultry,0.0
سبرينج رولز بالجبنة,2026-05-11,116.0,Fresh Foods,Meat & Poultry,0.0
